name,wins,year
Adolf Remy,NA,1962
Ahmet Akcan,NA,1962
Ahmet Asena,NA,1962
Ahmet Birdal,NA,1962
Ahmet Kazım Ertem,NA,1962
Ahmet Özen,NA,1962
Ahmet Suat Özyazıcı,NA,1962
Ahmet Ziya Yüce,NA,1962
Akın Barhan,NA,1962
Abdullah Avcı,NA,1963
Abdullah Ercan,NA,1963
Abdullah Gegic,NA,1963
Abdullah Matay,NA,1963
Adem Çağlayan,NA,1963
Adnan Dinçer,NA,1963
Adnan Örnek,NA,1963
Adnan Şentürk,NA,1963
Adolf Remy,NA,1963
Ahmet Akcan,NA,1963
Ahmet Asena,NA,1963
Ahmet Birdal,NA,1963
Ahmet Kazım Ertem,NA,1963
Ahmet Özen,NA,1963
Ahmet Suat Özyazıcı,NA,1963
Ahmet Ziya Yüce,NA,1963
Akın Barhan,NA,1963
Abdullah Avcı,NA,1964
Abdullah Ercan,NA,1964
Abdullah Gegic,NA,1964
Abdullah Matay,NA,1964
Adem Çağlayan,NA,1964
Adnan Dinçer,NA,1964
Adnan Örnek,NA,1964
Adnan Şentürk,NA,1964
Adolf Remy,NA,1964
Ahmet Akcan,NA,1964
Ahmet Asena,NA,1964
Ahmet Birdal,NA,1964
Ahmet Kazım Ertem,NA,1964
Ahmet Özen,NA,1964
Ahmet Suat Özyazıcı,NA,1964
Ahmet Ziya Yüce,NA,1964
Akın Barhan,NA,1964
Abdullah Avcı,NA,1965
Abdullah Ercan,NA,1965
Abdullah Gegic,NA,1965
Abdullah Matay,NA,1965
Adem Çağlayan,NA,1965
Adnan Dinçer,NA,1965
Adnan Örnek,NA,1965
Adnan Şentürk,NA,1965
Adolf Remy,NA,1965
Ahmet Akcan,NA,1965
Ahmet Asena,NA,1965
Ahmet Birdal,NA,1965
Ahmet Kazım Ertem,NA,1965
Ahmet Özen,NA,1965
Ahmet Suat Özyazıcı,NA,1965
Ahmet Ziya Yüce,NA,1965
Akın Barhan,NA,1965
Abdullah Avcı,NA,1966
Abdullah Ercan,NA,1966
Abdullah Gegic,NA,1966
Abdullah Matay,NA,1966
Adem Çağlayan,NA,1966
Adnan Dinçer,NA,1966
Adnan Örnek,NA,1966
Adnan Şentürk,NA,1966
Adolf Remy,NA,1966
Ahmet Akcan,NA,1966
Ahmet Asena,NA,1966
Ahmet Birdal,NA,1966
Ahmet Kazım Ertem,NA,1966
Ahmet Özen,NA,1966
Ahmet Suat Özyazıcı,NA,1966
Ahmet Ziya Yüce,NA,1966
Akın Barhan,NA,1966
